geneSYM-ensembl,gs-vs-gc log2FC,gs-vs-gc FDR,,,
Chaf1a,0.318149361,8.07E-06,,,
Arhgef1,0.317724202,4.57E-05,,,
Adgrl2,0.317589278,0.011610162,,,
RP23-41I11.9,0.317549056,0.136532603,,,
Lamc3,0.317072471,0.137494433,,,
Mycn,0.31699087,0.077038973,,,
Nup205,0.316856916,3.43E-10,,,
RP24-459P6.1,0.316338481,0.101029534,,,
Mpp6,0.316085267,5.31E-05,,,
Ppih,0.315938411,0.007480141,,,
Ces2e,0.315930456,6.47E-05,,,
RP23-95L9.5,0.315927661,0.045373286,,,
Kif23,0.315821114,3.76E-06,,,
Cenpl,0.315716405,0.003806492,,,
Nsd2,0.315610069,6.07E-08,,,
Kpna2,0.315541797,9.00E-07,,,
Socs1,0.315368419,0.031020021,,,
Pms2,0.315278127,0.00313812,,,
Zfp57,0.315250399,0.136563221,,,
Gas2l3,0.315104907,0.000108162,,,
Gramd4,0.314963784,0.000150742,,,
Mettl13,0.314608803,0.000333709,,,
Slc5a8,0.314423517,0.133018065,,,
Utp14a,0.31434641,1.86E-06,,,
Telo2,0.314152756,0.000981343,,,
Noc4l,0.314068189,8.21E-05,,,
Lin54,0.313809864,7.34E-05,,,
Mcam,0.313800303,6.12E-08,,,
Gm26448,0.313791008,0.096628456,,,
Uck2,0.313544472,3.94E-08,,,
Urb1,0.31330314,9.75E-08,,,
Sdad1,0.313259439,8.04E-08,,,
Zfp608,0.313228757,NA,,,
RP23-185B14.1,0.313226615,0.040563496,,,
Mxd3,0.313049791,0.063526899,,,
Ccnb2,0.312258269,1.10E-05,,,
Gchfr,0.311868163,0.125137741,,,
Tnfrsf18,0.311648321,0.106145745,,,
Psat1,0.311498115,2.97E-11,,,
Hmx2,0.31146264,0.135445366,,,
Dnajc9,0.311387122,7.39E-05,,,
Prim1,0.311352189,5.11E-05,,,
Tmpo,0.311334471,4.17E-08,,,
Rfc1,0.311244255,2.87E-09,,,
Vars2,0.310656997,0.000554779,,,
Mcm8,0.3105868,0.007687405,,,
Slc12a2,0.310028119,1.01E-07,,,
Dsn1,0.309887039,0.001485921,,,
Clip4,0.309724115,0.058406011,,,
Fancm,0.30898157,0.000140601,,,
Map3k14,0.3088933,0.008616692,,,
Gm25878,0.308492173,0.031860052,,,
Gfer,0.308363422,0.000328867,,,
Chek2,0.308308106,0.000243884,,,
Gpn3,0.308150775,0.000721664,,,
Fxn,0.30813873,0.022627048,,,
Dgkd,0.307942707,1.39E-05,,,
RP23-348C6.3,0.307444591,0.152490002,,,
Slbp,0.307356571,8.62E-06,,,
Paics,0.307190217,7.25E-08,,,
Rhoc,0.30717742,0.040640911,,,
Sbsn,0.307153088,1.20E-06,,,
Fam216a,0.307027693,0.000660937,,,
Ruvbl1,0.30699062,0.00081067,,,
Ddx20,0.30673715,3.90E-05,,,
Scarna6,0.306644133,0.142270657,,,
Rpp38,0.306608749,0.003725553,,,
Zfp764,0.306504176,0.145319224,,,
Gm23245,0.306457122,0.148231476,,,
D2Wsu81e,0.306357007,0.000552802,,,
Snord118,0.306233832,0.143337051,,,
Gm26165,0.306219467,0.104926116,,,
Gnb1l,0.306088186,0.015464091,,,
Noc2l,0.305952203,1.12E-05,,,
Polr2h,0.305726206,0.000177443,,,
Tyw1,0.305669148,0.000330392,,,
P2rx7,0.305527863,0.044166396,,,
Nob1,0.305248446,0.001509223,,,
Galnt18,0.304666995,0.0008114,,,
Acer3,0.304264689,1.23E-05,,,
Otud1,0.304234413,0.000778069,,,
Gcsh,0.30410999,1.61E-05,,,
Ifit2,0.30407469,0.144178146,,,
Faap24,0.303730465,0.039114989,,,
Mnd1,0.303448274,0.028645228,,,
Polr3g,0.303445354,4.77E-05,,,
Rbm38,0.303175908,0.092524845,,,
RP24-456B4.4,0.303033741,0.105714621,,,
Spata5,0.302842491,0.000180972,,,
Gemin8,0.302582064,0.15668091,,,
Zfp760,0.302403457,0.136532603,,,
Ano3,0.302299968,0.145056303,,,
Ipo5,0.302204595,1.99E-12,,,
Haus6,0.302199585,9.31E-05,,,
Adat1,0.302058959,0.069117939,,,
Wdr90,0.301943561,0.001778769,,,
Rps6ka2,0.301473614,0.016482823,,,
Cpsf3,0.301179248,7.61E-05,,,
Nop58,0.30076325,3.52E-07,,,
Sart3,0.300304856,5.48E-07,,,
Ilf3,0.300287269,1.02E-06,,,
Fhl1,0.300232914,0.000194761,,,
Terc,0.300058098,0.104897867,,,
Mfsd3,0.299328201,0.164231024,,,
Utp20,0.299097963,3.99E-09,,,
Gpnmb,0.299032077,0.147573612,,,
Urb2,0.298805797,7.87E-07,,,
Alkbh2,0.298040285,0.093421303,,,
Ing5,0.297998783,0.000862815,,,
Myc,0.297906684,2.06E-05,,,
Prkd3,0.297770939,0.0001341,,,
Acadm,0.297582271,0.022955464,,,
Slc6a9,0.297424459,0.087266756,,,
RP24-235B15.4,0.297264099,NA,,,
AC132148.3,0.297220322,0.165639429,,,
Gins2,0.29710823,0.005658274,,,
Steap1,0.29709845,0.004837184,,,
Prps1,0.296957816,0.001897396,,,
Slc7a11,0.296948666,8.00E-07,,,
Zfp493,0.29686735,0.138746603,,,
Rrp9,0.296861375,0.000137585,,,
Mapk6,0.296608874,1.70E-06,,,
Slc7a6,0.296598227,0.00014274,,,
RP23-349B4.7,0.296219306,0.000422012,,,
Bri3bp,0.296147724,0.000980731,,,
Mgme1,0.296119469,0.00633265,,,
Chaf1b,0.295850959,2.83E-06,,,
Hsp90aa1,0.295743793,2.08E-09,,,
Fastkd1,0.295645006,0.0338499,,,
Hist2h3c2,0.295531684,0.172689067,,,
Dna2,0.295474942,0.001805614,,,
Nab2,0.295056134,0.014719604,,,
Hmgb1,0.294895492,7.63E-07,,,
Fam185a,0.294717556,0.017138443,,,
Usp28,0.294325753,0.057502915,,,
Gm22711,0.293971362,0.168681351,,,
Fastkd3,0.293950357,0.014274157,,,
Gm22579,0.293554314,0.09338583,,,
Kif20a,0.293070596,0.027199894,,,
Ahsa1,0.292860153,5.17E-06,,,
Smc2,0.292717698,0.031115381,,,
Dars2,0.292561973,0.000609849,,,
Pus1,0.292175949,2.70E-05,,,
Vrk1,0.292063345,0.000600964,,,
Snora3,0.292032693,0.136532603,,,
Agpat5,0.291984424,3.29E-05,,,
Pdzd2,0.291762817,0.145904166,,,
Pfdn6,0.291539543,0.007249199,,,
Chit1,0.291458698,0.176827234,,,
Aldh2,0.29137044,0.180359557,,,
Rassf6,0.291217122,0.046900623,,,
Haus8,0.290984396,0.009304493,,,
Fst,0.290643257,0.01999198,,,
RP24-309H3.1,0.290589256,0.168681351,,,
Snord12,0.290547128,0.075746945,,,
RP23-180L12.5,0.290468988,0.164807563,,,
Cln3,0.290169861,0.113229445,,,
Tbc1d31,0.290098831,0.005701092,,,
Rcc1l,0.290008312,0.002221911,,,
Ptgs2os,0.289982335,0.183627531,,,
Orc1,0.289694349,0.001480797,,,
Gpatch4,0.289497919,0.004771209,,,
Pold2,0.289393724,0.00019118,,,
Pa2g4,0.289310971,3.83E-05,,,
Trdmt1,0.289239598,0.118847473,,,
Prmt6,0.289209722,0.004073881,,,
Mki67,0.288992919,0.020177789,,,
Actr3b,0.288943875,0.023794716,,,
Gins1,0.28881741,0.003110142,,,
Gm25091,0.288620131,0.170273161,,,
Noc3l,0.288542121,5.60E-05,,,
Pcyox1l,0.288163194,0.068424542,,,
Areg,0.28812332,0.110126569,,,
Abca12,0.287929328,5.91E-05,,,
Nr1h4,0.287841131,0.17956339,,,
Pfas,0.28765022,0.00024646,,,
RP24-443B5.1,0.28753226,0.189542752,,,
Tpx2,0.287507609,3.60E-07,,,
RP24-185O19.6,0.287413392,0.005286852,,,
Gm24029,0.287298023,0.128981402,,,
AC113299.3,0.287090186,0.175164531,,,
Nat10,0.286833854,0.000417528,,,
Mphosph10,0.286744484,0.000101711,,,
Nde1,0.286576561,7.57E-05,,,
Rpa3,0.286465265,0.015736669,,,
Rpusd2,0.286267978,0.023809811,,,
Gm24497,0.286136782,0.154243004,,,
Plagl1,0.286121468,0.106503952,,,
Lsm5,0.28610584,0.025111454,,,
Snx22,0.286044575,0.165939254,,,
Rny3,0.286032606,0.023615198,,,
Hells,0.285854794,0.000197253,,,
Slc16a10,0.285660136,0.062528958,,,
Mthfd1,0.285500434,5.13E-09,,,
Dennd2d,0.285313681,0.179462362,,,
Cth,0.285309204,0.012859673,,,
Gm24455,0.285169919,0.146348884,,,
Gm23119,0.285142378,0.181173827,,,
RP23-325M7.3,0.2847374,0.003241262,,,
Rtn2,0.284712659,0.165029135,,,
Cep295,0.284601203,0.000285968,,,
Thumpd1,0.284354603,2.22E-05,,,
Btg2,0.28416074,0.000983085,,,
Jdp2,0.284082175,0.016589391,,,
Rpusd1,0.284077261,0.062681521,,,
Dusp9,0.28400187,0.003628443,,,
RP23-90A8.2,0.283592052,0.167107146,,,
Cdca4,0.283290626,0.000104896,,,
Dimt1,0.283142942,0.014955661,,,
Gm8186,0.28265119,0.12626226,,,
Mcm3,0.282615726,2.51E-05,,,
Tigit,0.282440705,0.20007994,,,
Zfp593,0.282288436,0.009589296,,,
Ddah2,0.282032918,0.154243004,,,
Bysl,0.28199895,0.000103883,,,
Trpv4,0.281817367,0.000360351,,,
Flt1,0.281638859,0.176498409,,,
Oip5,0.281592855,0.026817166,,,
Cyp2s1,0.281519084,0.031295611,,,
St3gal3,0.281004921,0.195838225,,,
Parp2,0.280859415,0.014274157,,,
Snord49b,0.280729501,0.192210139,,,
RP23-38L11.1,0.280590693,0.193785331,,,
Pfkfb4,0.280587363,0.200593248,,,
Rnf151,0.280538938,NA,,,
Far2,0.280305096,NA,,,
Ptp4a3,0.28009137,0.000181231,,,
Rad54b,0.279810899,0.040349959,,,
Gm23187,0.279796681,0.146110951,,,
Cep57,0.279427088,0.000897064,,,
Apobec1,0.279404522,0.132674615,,,
Egfl7,0.279389921,0.106503952,,,
Palb2,0.278790434,0.056406929,,,
Dnajc2,0.278786581,2.39E-06,,,
Nudt1,0.278663359,0.007951222,,,
Foxa1,0.278598846,0.180678113,,,
RP23-230D17.7,0.278595371,0.203196374,,,
Sprr2f,0.278561826,NA,,,
Haus1,0.278532363,0.014476399,,,
Slc39a10,0.278526776,9.52E-05,,,
Gm22442,0.278050964,0.023159876,,,
Helq,0.27802775,0.01092414,,,
Thada,0.27784261,0.000206212,,,
Nup93,0.277816777,1.02E-05,,,
Pard6b,0.27780346,0.043504489,,,
Sap30,0.277686724,0.009901621,,,
Zfp367,0.277608024,0.002194771,,,
Naa25,0.277399986,3.63E-07,,,
Anp32a,0.277391707,0.175312816,,,
Rmrp,0.27702733,0.034022371,,,
Snora65,0.276553486,0.10013212,,,
Rnu12,0.27570363,0.210950615,,,
Snord104,0.275413815,0.141441925,,,
RP24-288J3.1,0.275363788,0.186202408,,,
E2f6,0.275064953,0.017292942,,,
Tlcd1,0.275015794,0.059726706,,,
Brca1,0.274866847,5.98E-05,,,
RP23-387F9.3,0.274838765,0.00108182,,,
Hdgf,0.274680083,4.35E-06,,,
Hmgb2,0.274522308,0.025928063,,,
Pogk,0.273988679,0.016391573,,,
Zgrf1,0.273834854,0.014781938,,,
Gm26205,0.273418292,0.16796878,,,
Dll1,0.27329695,7.59E-05,,,
Mre11a,0.273204207,6.07E-05,,,
Snrpa1,0.272986641,0.000262063,,,
Rad51ap1,0.272813728,0.005472267,,,
RP23-7E4.2,0.272746406,0.218056718,,,
AC136146.4,0.272640046,0.179291797,,,
Pcgf6,0.272543753,0.002076314,,,
Upp1,0.272532169,0.068186099,,,
Mex3b,0.272460371,0.002868292,,,
Srrt,0.272357836,3.22E-07,,,
Snord80,0.272101513,0.089644078,,,
Gdnf,0.272056572,0.013900531,,,
Thop1,0.271957505,5.09E-06,,,
AC152939.2,0.271917986,0.001687612,,,
RP23-81C12.3,0.271906511,0.020569757,,,
Slc5a1,0.271861796,0.221922303,,,
Stambpl1,0.271836403,0.014955661,,,
Nop2,0.271809009,3.87E-06,,,
Surf6,0.27155653,0.000199795,,,
Mybbp1a,0.271512044,3.79E-06,,,
Syne3,0.271277692,0.139989944,,,
RP23-162H3.2,0.271245332,NA,,,
Mrnip,0.270673793,0.203196374,,,
Abhd6,0.270549443,0.033069295,,,
Atad2,0.270515472,0.000247482,,,
RP24-144H23.1,0.270464477,0.220589941,,,
Papd7,0.270233746,0.001150201,,,
Slc7a1,0.270139935,1.33E-05,,,
Aen,0.270020178,4.21E-05,,,
Pola2,0.270006788,0.000195808,,,
Camk4,0.26966765,0.176131203,,,
Ccdc86,0.269650914,1.72E-05,,,
Phactr2,0.269557676,0.165265147,,,
RP23-444I6.3,0.269483767,0.196979202,,,
Pms1,0.269450953,0.019668756,,,
Klhl5,0.269398717,0.189390237,,,
Pde5a,0.269101468,0.22746207,,,
Eif4b,0.269021,8.95E-11,,,
Aipl1,0.268969686,0.226634439,,,
Dhx37,0.268932343,0.000616668,,,
Ccdc163,0.268772001,0.157693181,,,
RP23-155B20.2,0.26876292,0.222934064,,,
Kitl,0.268629022,0.017191667,,,
Gm25394,0.268479017,0.228404543,,,
Edn1,0.268448294,0.228785671,,,
Rundc3a,0.268385311,0.153190402,,,
Akap1,0.268138866,0.000224119,,,
Ftsj3,0.268023729,3.89E-06,,,
RP23-300K5.1,0.268016243,0.216199363,,,
Casc4,0.267876867,0.051791386,,,
Lsm8,0.267831335,0.005563854,,,
Snord34,0.26777044,0.16095285,,,
Dock11,0.267409277,2.17E-05,,,
Gmnn,0.267220407,0.00229505,,,
Trim37,0.267096098,4.90E-05,,,
Prkd2,0.267048373,0.094012536,,,
Nfil3,0.266934498,0.009386402,,,
Ran,0.266651888,1.13E-09,,,
Fam81a,0.266436522,NA,,,
Hsph1,0.266427502,3.73E-07,,,
RP24-303N8.3,0.266394543,0.20743938,,,
Zbtb12,0.265292696,0.180668862,,,
Mir7079,0.265272382,NA,,,
Ahctf1,0.265238705,6.32E-08,,,
Nrf1,0.265148388,0.000933691,,,
Parp1,0.265143378,1.33E-06,,,
Tex30,0.264787475,0.02241283,,,
Rcc2,0.264345317,3.17E-07,,,
Mrpl12,0.264321493,0.000446543,,,
Rara,0.264149299,0.122235409,,,
Popdc3,0.264119761,0.236973251,,,
Dach1,0.263854029,NA,,,
Cwf19l1,0.263804569,0.00161566,,,
Ncapd3,0.263707857,0.000164744,,,
Dnajc27,0.263326069,0.21135175,,,
Pcolce2,0.263056252,0.010579609,,,
Lysmd2,0.262484629,0.09121094,,,
Fam136a,0.262471507,0.000143234,,,
Mtfr2,0.262384922,0.119483822,,,
Rnu3b1,0.262241309,0.24048667,,,
Nasp,0.262235494,1.78E-05,,,
Cntrl,0.26216194,0.000580954,,,
Zmym1,0.261331709,0.025986994,,,
Smpdl3b,0.26126226,0.035104846,,,
Snhg17,0.261184914,0.007363383,,,
Fancf,0.261127888,0.157693181,,,
Mcph1,0.261055083,0.003412515,,,
Suox,0.260871464,0.171062842,,,
Spata24,0.260564824,0.185901912,,,
Snord50a,0.260452197,0.199048409,,,
Elovl6,0.260355795,2.58E-06,,,
Ephx1,0.2601897,0.000115898,,,
Uap1l1,0.260120666,0.228533754,,,
Tubb5,0.260106073,2.42E-07,,,
Ncl,0.26004646,0.000288861,,,
Slc25a26,0.259844342,0.165939254,,,
Ahcy,0.259687058,0.001101583,,,
Xndc1,0.259574487,0.176447494,,,
Efcab11,0.259555321,0.230672007,,,
Cryab,0.259553039,0.082185411,,,
Mrpl18,0.259453382,0.0002912,,,
Pttg1,0.259122699,0.005592212,,,
Ddx39b,0.259048366,0.000156481,,,
Gfm1,0.258925871,9.77E-05,,,
Stim2,0.258906399,0.000183083,,,
Mrps28,0.258809612,0.01092414,,,
Trmt1,0.258730996,0.000122809,,,
Exosc2,0.258606785,0.001468548,,,
Gemin5,0.258312438,5.80E-05,,,
Sprr2a3,0.258250694,0.176874182,,,
Tmem243,0.258235756,0.207333597,,,
Efnb3,0.258171397,0.25246955,,,
Orc2,0.258169052,0.000275627,,,
Dnaaf2,0.258036759,0.224129341,,,
Usp44,0.257882078,NA,,,
RP23-121J14.4,0.257874018,NA,,,
Gda,0.257620349,0.254016207,,,
Cebpz,0.257501915,5.79E-06,,,
Nhp2,0.257392883,7.82E-06,,,
Tspan5,0.257311642,0.070813116,,,
Hunk,0.257286493,0.032145685,,,
RP23-358B23.3,0.257077277,0.250443152,,,
Wdr62,0.256982139,0.1215409,,,
Atp1b1,0.256336599,0.173080131,,,
Ube2s,0.256208942,0.005997877,,,
Pip4k2b,0.256175774,0.000206948,,,
Pus7l,0.256128552,0.030913658,,,
Tipin,0.255928063,0.002087875,,,
Ddx10,0.255751167,0.000243884,,,
RP24-234J3.2,0.255548253,0.170795302,,,
Ppp1cc,0.255076753,0.001302218,,,
Ppil1,0.255059105,0.006289154,,,
Fastkd2,0.254964211,0.001826679,,,
Impdh2,0.254927105,9.74E-06,,,
Trim27,0.25479136,3.36E-05,,,
Gcnt1,0.254649324,0.000483102,,,
Aimp2,0.254467519,0.004901181,,,
Cldn12,0.254375807,0.000920219,,,
Rps16,0.254369386,0.003509287,,,
Spc25,0.254102527,0.004566234,,,
Gm24336,0.253566227,0.029515912,,,
RP23-128P10.1,0.253349723,0.264203972,,,
Emb,0.253346563,0.027100617,,,
Poc1a,0.253330894,0.030008369,,,
Zcchc11,0.253040842,0.100970578,,,
Prmt5,0.253023461,0.000116659,,,
Atf6,0.25290731,0.003816106,,,
Ltv1,0.252896413,0.000120822,,,
Rpl13a,0.252794921,0.001626059,,,
Nfyb,0.252698072,0.002221911,,,
Xpo4,0.252496226,0.004965657,,,
Prkch,0.252427927,0.00575341,,,
Ybx1,0.252413391,8.32E-08,,,
RP23-383I16.10,0.252344262,0.251613827,,,
Snord32a,0.252242542,0.255585821,,,
Smco4,0.252164239,0.155232628,,,
Hdgfrp2,0.2520465,0.001659104,,,
Mrpl50,0.252028044,0.002292543,,,
RP23-370H21.5,0.251972707,NA,,,
Cdkn2a,0.251802002,0.236422403,,,
Nepro,0.251783226,0.004795901,,,
Zfp955a,0.251689107,0.125344691,,,
Dhodh,0.251622064,0.038617854,,,
Fam175a,0.251464139,0.076796774,,,
Gm23212,0.251362534,0.034875952,,,
Nkx2-9,0.251353646,NA,,,
Ptma,0.251220121,0.072729951,,,
Rad1,0.251110203,0.045826555,,,
Ank2,0.250952985,0.266261311,,,
Tars2,0.250924299,0.000931281,,,
Zfp948,0.250895978,0.070747525,,,
Nucks1,0.250795683,1.68E-05,,,
Eif1ad,0.250656302,0.000119877,,,
Pot1a,0.250650111,0.031791232,,,
Gm22486,0.250595071,0.257380849,,,
Wdr74,0.250319955,0.166097393,,,
Cct7,0.25009767,4.39E-06,,,
Prpf31,0.249876748,7.39E-05,,,
Mmp10,0.24978758,0.171459826,,,
Lrwd1,0.249717125,0.000881252,,,
Qtrtd1,0.249461207,0.000595433,,,
Nudc,0.249291666,0.000104082,,,
Ankrd28,0.24904971,0.009232526,,,
Taf5,0.248950148,0.015967315,,,
Gm5160,0.248812036,NA,,,
Chd7,0.248699441,0.027656447,,,
Cnbp,0.248680164,3.61E-06,,,
RP24-227O16.1,0.248454241,0.000370098,,,
Taf5l,0.248433857,0.001786304,,,
Dtymk,0.248421545,0.000764926,,,
Mettl16,0.248377851,1.92E-05,,,
Msh2,0.248299141,0.002986405,,,
Ercc8,0.248260717,0.098340436,,,
Ccdc77,0.248245577,0.029023299,,,
Tspan4,0.248188156,0.030916956,,,
RP23-49H16.3,0.24818413,0.197775162,,,
Nap1l1,0.248062766,3.83E-05,,,
Nmral1,0.248014017,0.008448633,,,
Zfp704,0.247905851,0.09071686,,,
Cers2,0.247608497,0.001855784,,,
Cct3,0.247560452,1.10E-07,,,
Fbln1,0.247411154,0.007454924,,,
Snord78,0.247344003,0.0374232,,,
Tenm3,0.247281682,0.001153211,,,
Iqgap2,0.247199528,0.077584044,,,
Twnk,0.247036735,0.009655339,,,
Rfc2,0.247027564,9.37E-05,,,
Ebna1bp2,0.246701057,0.000564983,,,
Dek,0.246642043,0.001858249,,,
Krt36,0.246426812,NA,,,
Cdc6,0.246367271,0.004237474,,,
Lrr1,0.245831634,0.209142324,,,
Smyd2,0.245746522,0.000291815,,,
Epop,0.24567581,0.106145745,,,
Krt13,0.245455843,0.226634439,,,
Sfxn4,0.245377953,NA,,,
Gm24105,0.245358996,0.202794327,,,
Slc35d2,0.245315589,0.233888327,,,
Gm25541,0.245313231,0.280801693,,,
Fut11,0.245263392,0.098873101,,,
Rpp30,0.245013508,0.004104583,,,
Ift57,0.24500931,0.009096675,,,
Usp10,0.244953743,0.000145111,,,
Cenpc1,0.24491522,0.010689376,,,
Mrps31,0.244904982,0.025190034,,,
Mak16,0.244760391,7.79E-06,,,
Tle4,0.2446947,0.200468636,,,
Ddx51,0.244666483,0.003914888,,,
Pask,0.24462527,0.009589296,,,
Eng,0.244485251,0.282482,,,
Tmem97,0.244447902,0.001686733,,,
Atr,0.2443661,0.000498851,,,
Snrnp35,0.244315565,0.167173434,,,
Pola1,0.244211212,0.000328867,,,
Slc25a47,0.244164434,0.282482,,,
Tcf19,0.24390557,0.008619511,,,
Gjc1,0.243550347,0.067165676,,,
Uspl1,0.243427988,0.000947979,,,
Fkbp4,0.243341507,8.91E-07,,,
Haus5,0.243234914,0.279963553,,,
Snhg4,0.243233773,0.078523415,,,
Fam198b,0.243224248,0.283042453,,,
Hoxa5,0.24284237,0.276658342,,,
Mogs,0.242763013,0.003963873,,,
Aga,0.242762412,0.213289187,,,
Prpf3,0.242752828,0.014420415,,,
Piga,0.242673489,0.025530382,,,
Cmtr2,0.242653207,0.013495776,,,
Phf7,0.242608415,0.200468636,,,
RP24-68G17.2,0.242499396,0.280023591,,,
Blvrb,0.242479776,0.106145745,,,
Srbd1,0.242419617,0.017280042,,,
Cd109,0.242414015,1.62E-05,,,
Snord2,0.242401119,0.134211294,,,
Ahi1,0.242328024,0.15074129,,,
Btbd8,0.242325548,0.196979202,,,
Zfp101,0.242300396,0.034711889,,,
Plscr2,0.242215231,0.292039748,,,
Gcat,0.242157396,0.027989496,,,
Smagp,0.242091514,0.290684546,,,
Ptcd3,0.242039261,5.29E-05,,,
C1qbp,0.241872751,0.000198582,,,
Ticrr,0.241870532,0.11427843,,,
Dus4l,0.241782174,0.161426351,,,
C2cd5,0.241722092,0.03469677,,,
Fanca,0.241478289,0.033843077,,,
Sgk1,0.24127153,0.000259987,,,
RP24-478I22.8,0.241091865,NA,,,
Impa2,0.240890629,0.006969478,,,
Klf5,0.240827251,0.04264415,,,
Tada2a,0.24075687,0.015478236,,,
Tut1,0.24067389,0.003676745,,,
RP23-284E19.10,0.24055292,0.245397896,,,
Mtap,0.240517846,9.50E-05,,,
Mycl,0.240201671,0.215799342,,,
Phf5a,0.240201431,0.000565761,,,
Ydjc,0.240152566,0.057278103,,,
Tshz1,0.239889849,0.044967492,,,
Prim2,0.239689938,0.00067874,,,
Nsun2,0.239475604,4.23E-08,,,
Ears2,0.23944264,0.095700716,,,
Rpph1,0.239320467,0.000363568,,,
Gtf2a2,0.239232677,0.010018343,,,
Mms22l,0.239164254,0.003361395,,,
Dusp12,0.239060392,0.029485022,,,
Mars,0.239049858,1.05E-05,,,
RP23-207H18.3,0.238834836,0.262413865,,,
Gtf2h5,0.238805551,0.005556793,,,
Anapc15,0.238747375,0.015393947,,,
Mfge8,0.238602528,9.34E-05,,,
Dph1,0.238586149,0.071600361,,,
RP23-137C6.6,0.238560399,0.28007263,,,
Snora64,0.238542045,0.277821228,,,
Zfp346,0.238163476,0.047408818,,,
Atad3a,0.23789564,0.000186461,,,
Rnps1,0.237706357,0.060289562,,,
Cse1l,0.237665512,3.42E-05,,,
Crebzf,0.237618987,0.002700491,,,
Ifrd1,0.237605833,8.92E-05,,,
Rhno1,0.237472186,0.022884285,,,
Dhx15,0.237331266,7.69E-06,,,
RP23-477L20.1,0.237214191,NA,,,
Anxa6,0.236981432,0.031115381,,,
Smn1,0.236790592,0.059792181,,,
Sox2ot,0.236783864,NA,,,
Pnpt1,0.236718573,0.000769901,,,
AC155806.4,0.23659597,0.305064115,,,
Orc5,0.236550503,0.008080586,,,
Ilkap,0.236319605,0.002808011,,,
Zfas1,0.236111578,0.000995141,,,
Snapc4,0.235750341,0.01544264,,,
AC149086.3,0.235614028,0.261035682,,,
B9d2,0.235459997,0.273112498,,,
Rdh11,0.235273676,2.19E-05,,,
Atp8b4,0.235101469,0.292799743,,,
Atp2b1,0.235064795,8.17E-05,,,
Orc6,0.235047601,0.001484545,,,
Pusl1,0.235018117,0.066277286,,,
Rpl6,0.234973036,9.94E-06,,,
Pcsk4,0.234891295,0.305940801,,,
Slc25a29,0.234846162,NA,,,
Myh10,0.234816901,0.001470859,,,
Gm23455,0.234592109,0.103818012,,,
Aasdh,0.234193445,0.11116776,,,
Snhg1,0.234138851,0.000380702,,,
Rad9a,0.234109438,0.012342264,,,
Tinf2,0.234067722,0.023159876,,,
Gm25989,0.234060299,0.270496285,,,
RP23-396C4.1,0.233900022,0.291879492,,,
Gpn1,0.23371337,0.002959518,,,
Zfp874b,0.233554304,0.217506545,,,
RP23-438D7.4,0.233253988,0.313196009,,,
Ltf,0.233252403,NA,,,
RP24-500I24.6,0.233224854,NA,,,
Poc1b,0.233213114,0.121939872,,,
Ddx27,0.23308568,6.89E-05,,,
Arhgap24,0.233069742,0.296691708,,,
Slc5a3,0.232991039,0.007696338,,,
Ptprd,0.232903191,NA,,,
Pold3,0.232858644,0.027704609,,,
Ftsj2,0.232857037,0.101111178,,,
Steap2,0.232833068,0.001370566,,,
Ints5,0.232832103,0.000130684,,,
Cwf19l2,0.232742819,0.036907002,,,
Polr3e,0.232697119,0.003488894,,,
Rin1,0.232664259,2.25E-05,,,
Gm22362,0.232574118,NA,,,
Psip1,0.232540201,0.009111031,,,
RP24-325N3.1,0.232385663,NA,,,
Ubiad1,0.232279004,0.043504489,,,
Ipo11,0.232253868,0.00020267,,,
Apobec3,0.23217865,0.002622808,,,
Opa3,0.232060176,0.010098147,,,
Man2a2,0.232030548,0.000140601,,,
Gm23639,0.231978721,0.265633225,,,
Chek1,0.231761258,0.03153235,,,
Apex1,0.231754317,0.000240447,,,
Rnu11,0.231695882,0.314364434,,,
Nlrc3,0.231661519,NA,,,
Tsr1,0.23153736,7.61E-05,,,
Naa10,0.231518067,0.005556793,,,
Ankrd40,0.231446716,0.014168516,,,
Cstf1,0.231445355,0.00022953,,,
Tbrg4,0.231264138,0.00140514,,,
Snx5,0.231182724,1.62E-05,,,
RP23-35F19.3,0.230960991,0.07426388,,,
Pus10,0.230610902,0.001187282,,,
Set,0.230607408,1.11E-05,,,
Neil3,0.230543312,0.176216249,,,
U2af1,0.230473723,0.000385665,,,
Lcat,0.230175635,0.324927513,,,
Tmigd1,0.230153493,0.080806876,,,
Tnfaip8l1,0.230131452,0.194386152,,,
Snrpg,0.229982309,0.013003444,,,
Mthfd1l,0.229966827,0.000717838,,,
RP23-149L10.1,0.229929555,0.192210139,,,
Dffb,0.229905621,0.194306411,,,
Net1,0.229785894,0.003260358,,,
Fam212a,0.229735327,0.09338583,,,
RP23-16D16.4,0.229697301,NA,,,
Snora57,0.229550083,0.057051579,,,
Serpinf1,0.229383168,0.298453429,,,
Smchd1,0.229379579,5.56E-05,,,
Gm27390,0.22932752,0.252177509,,,
RP23-419K14.8,0.229277482,0.324167199,,,
Gm24620,0.229265641,0.312344409,,,
Adh7,0.229215587,0.096616277,,,
RP23-234K24.8,0.229195817,0.00505525,,,
Nsmce4a,0.228887243,0.006394167,,,
Fzr1,0.228784541,0.001835452,,,
Farsb,0.228681052,0.000319567,,,
Zfp930,0.228562937,0.023951805,,,
Fkbp3,0.228375668,0.00112195,,,
